상품명,가격,사진
[매장픽업]  파이퍼하이직 뀌베브뤼(스파클링와인),"65,000",item.ssgcdn.com/56/51/95/item/1000043955156_i1_232.jpg
"[매장픽업] 그라함, 10년 토니 포트 (포트와인)","77,000",item.ssgcdn.com/56/51/95/item/1000043955156_i2_232.jpg
"[매장픽업] 파스쿠아, 일레븐 미닛 로제 (로제와인)","50,000",item.ssgcdn.com/36/66/36/item/1000049366636_i1_232.jpg
[매장픽업]투핸즈 엔젤스쉐어 (레드와인),"43,000",item.ssgcdn.com/36/66/36/item/1000049366636_i2_232.jpg
"[매장픽업] 에밀리아나, 코얌 (레드와인)","56,000",item.ssgcdn.com/56/84/39/item/1000049398456_i1_232.jpg
[매장픽업] 빌라 안나베르타 아마로네(레드와인),"49,000",item.ssgcdn.com/56/84/39/item/1000049398456_i2_232.jpg
[매장픽업]뿌삐유 (레드와인),"50,000",item.ssgcdn.com/78/39/79/item/1000044793978_i1_232.jpg
"[매장픽업] 파스쿠아, 프리잔떼 돌체 스윗 로제 (스파클링와인)","40,000",item.ssgcdn.com/01/04/37/item/1000049370401_i1_232.jpg
[매장픽업]피치니 메모로 루즈 (레드와인),"13,000",item.ssgcdn.com/01/04/37/item/1000049370401_i2_232.jpg
[매장픽업]피치니 끼안띠 375ml (레드와인),"6,900",item.ssgcdn.com/88/10/27/item/1000049271088_i1_232.jpg
[매장픽업] 토마시 아마로네 델라 발폴리첼라 클라시코(레드와인),"90,000",item.ssgcdn.com/18/82/00/item/1000051008218_i1_232.jpg
"[매장픽업] 찰스 하이직, 브륏 리저브 (샴페인)","120,000",item.ssgcdn.com/47/81/39/item/1000049398147_i1_232.jpg
"[매장픽업] 로쉬 드 벨렌, 부르고뉴 피노누아 비에이 비뉴 375ml (레드와인)","28,000",item.ssgcdn.com/47/81/39/item/1000049398147_i2_232.jpg
"[매장픽업] 마이펫, 모나스트렐 로제","25,000",item.ssgcdn.com/11/96/79/item/1000044799611_i1_232.jpg
"[매장픽업] 로버트 오틀리, 시그니처 쉬라즈 (레드와인)","35,000",item.ssgcdn.com/41/18/01/item/1000051011841_i1_232.jpg
[매장픽업] 끌로 드 로스 씨에떼 (레드와인),"50,000",item.ssgcdn.com/81/12/00/item/1000051001281_i1_232.jpg
[매장픽업] 마르께스 데 까사 콘차 에티케타 네그라(레드와인),"50,000",item.ssgcdn.com/53/68/18/item/1000051186853_i1_232.jpg
"[매장픽업] 샤토 마이에, 샤토 로셰 가르다 (레드와인)","44,000",item.ssgcdn.com/53/68/18/item/1000051186853_i2_232.jpg
"[매장픽업] 파스쿠아, 프리잔떼 뀌베 넘버 5 (스파클링와인)","35,000",item.ssgcdn.com/71/43/13/item/1000051134371_i1_232.jpg
[매장픽업]앙드레 끌루에 상파뉴 실버 브뤼,"55,000",item.ssgcdn.com/71/43/13/item/1000051134371_i2_232.jpg
[매장픽업]카멜로드 몬테레이 피노누아(레드와인),"100,000",item.ssgcdn.com/46/40/62/item/1000063624046_i1_232.jpg
[매장픽업]빌꺄르 살몽 엑스트라 브뤼,"80,000",item.ssgcdn.com/20/92/85/item/1000043859220_i1_232.jpg
[매장픽업]피치니 메모로 화이트 (화이트와인),"13,000",item.ssgcdn.com/20/92/85/item/1000043859220_i2_232.jpg
"[매장픽업] 루이 미쉘, 샤블리 375ml (화이트와인)","35,000",item.ssgcdn.com/08/87/85/item/1000043858708_i1_232.jpg
"[매장픽업] 파스쿠아, 진 프리미티보 (레드와인)","42,000",item.ssgcdn.com/08/87/85/item/1000043858708_i2_232.jpg
"[매장픽업] 파스쿠아, 프로세코 DOC 오드리 햅번 (스파클링와인)","39,000",item.ssgcdn.com/23/98/69/item/1000048699823_i1_232.jpg
"[매장픽업] 루이 미쉘, 쁘띠 샤블리 (화이트와인)","47,000",item.ssgcdn.com/24/74/19/item/1000051197424_i1_232.jpg
"[매장픽업] 로쉬 드 벨렌, 부르고뉴 샤르도네 비에이 비뉴 375ml (화이트와인)","28,000",item.ssgcdn.com/12/80/39/item/1000049398012_i1_232.jpg
[매장픽업]지디 바이라 알베 바롤로 (레드와인),"65,000",item.ssgcdn.com/12/80/39/item/1000049398012_i2_232.jpg
"[매장픽업] 코폴라 와이너리, 다이아몬드 클라렛 (레드와인)","47,000",item.ssgcdn.com/38/29/79/item/1000044792938_i1_232.jpg
[매장픽업]이기갈 꼬뜨 뒤 론 루즈 1500ml (레드와인),"45,000",item.ssgcdn.com/28/34/27/item/1000049273428_i1_232.jpg
[매장픽업]투핸즈 섹시 비스트 (레드와인),"43,000",item.ssgcdn.com/05/40/86/item/1000043864005_i1_232.jpg
[매장픽업]미스팅게 브뤼,"30,000",item.ssgcdn.com/62/78/04/item/1000051047862_i1_232.jpg
[매장픽업]칸티 프로세코 DOC 1500ml,"29,000",item.ssgcdn.com/05/08/19/item/1000051190805_i1_232.jpg
"[매장픽업] 로쉬 드 벨렌, 부르고뉴 샤르도네 퀴베 리저브 (화이트와인)","43,000",item.ssgcdn.com/05/08/19/item/1000051190805_i2_232.jpg
[매장픽업] 머드하우스 소비뇽 블랑 (화이트와인),"29,000",item.ssgcdn.com/57/05/32/item/1000057320557_i1_232.jpg
[매장픽업] 제라르 베르트랑 그랑 떼루아르 또따벨 (레드와인),"33,000",item.ssgcdn.com/57/05/32/item/1000057320557_i2_232.jpg
[매장픽업]코노수르 레세르바 샤도네이 (화이트와인),"20,000",item.ssgcdn.com/01/83/39/item/1000049398301_i1_232.jpg
테레 디 산 레오나르도,"32,000",item.ssgcdn.com/01/83/39/item/1000049398301_i2_232.jpg
[매장픽업]울프 블라스 옐로라벨 샤도네이,"20,000",item.ssgcdn.com/75/11/85/item/1000043851175_i1_232.jpg
베테 디 산 레오나르도,"32,000",item.ssgcdn.com/75/11/85/item/1000043851175_i2_232.jpg
[매장픽업] 두게싸 리아 모스카토 다스티 (화이트와인),"15,000",item.ssgcdn.com/40/38/13/item/1000051133840_i1_232.jpg
[매장픽업] 프로즌 툰드라 비달 아이스와인 (화이트와인),"35,000",item.ssgcdn.com/40/38/13/item/1000051133840_i2_232.jpg
