상품명,가격,사진
[매장픽업]  몰리두커 더 복서,"45,000",item.ssgcdn.com/83/15/96/item/1000043961583_i1_232.jpg
[매장픽업]앙드레 끌루에 상파뉴 브뤼 그랑 리저브,"45,000",item.ssgcdn.com/27/33/79/item/1000044793327_i1_232.jpg
[매장픽업]투핸즈 엔젤스쉐어 (레드와인),"36,000",item.ssgcdn.com/78/39/79/item/1000044793978_i1_232.jpg
[매장픽업]  파이퍼하이직 뀌베브뤼(스파클링와인),"55,800",item.ssgcdn.com/56/51/95/item/1000043955156_i1_232.jpg
[매장픽업]뿌삐유 (레드와인),"43,200",item.ssgcdn.com/56/51/95/item/1000043955156_i2_232.jpg
[매장픽업]투핸즈 섹시 비스트 (레드와인),"36,000",item.ssgcdn.com/18/82/00/item/1000051008218_i1_232.jpg
"[매장픽업] 텍스트북, 나파 메를로","53,100",item.ssgcdn.com/28/67/79/item/1000044796728_i1_232.jpg
서브미션 까베르네소비뇽,"22,500",item.ssgcdn.com/32/23/97/item/1000048972332_i1_232.jpg
샤또 샤스 스플린 17,"58,500",item.ssgcdn.com/79/48/07/item/1000066074879_i1_232.jpg
"[매장픽업] 샴페인 드라피에, 까르뜨 도르 브륏 NV","63,000",item.ssgcdn.com/05/31/10/item/1000066103105_i1_232.jpg
"[매장픽업] 파스쿠아, 프리잔떼 돌체 스윗 로제 (스파클링와인)","35,000",item.ssgcdn.com/66/88/09/item/1000051098866_i1_232.jpg
[매장픽업] 빌라 안나베르타 아마로네(레드와인),"44,100",item.ssgcdn.com/47/81/39/item/1000049398147_i1_232.jpg
[매장픽업] 모엣 x 카카오프렌즈 리미티드 에디션,"72,000",item.ssgcdn.com/47/81/39/item/1000049398147_i2_232.jpg
[매장픽업]  몰리두커 투 레프트 핏,"45,000",item.ssgcdn.com/88/10/27/item/1000049271088_i1_232.jpg
[매장픽업]루이자도 부르고뉴 샤도네이 375ml (화이트와인),"14,400",item.ssgcdn.com/48/95/21/item/1000070219548_i1_232.jpg
버진 드 발랑드로 2017,"67,500",item.ssgcdn.com/48/95/21/item/1000070219548_i2_232.jpg
몽제아 뮈네레 르 리베르탱 부르고뉴 빠쓰뚜그랭 18,"27,000",item.ssgcdn.com/78/59/96/item/1000043965978_i1_232.jpg
[매장픽업] 모엣 & 샹동 임페리얼 375ml,"44,820",item.ssgcdn.com/45/85/00/item/1000051008545_i1_232.jpg
[매장픽업] 당장페이 브뤼,"35,100",item.ssgcdn.com/55/88/22/item/1000085228855_i1_232.jpg
[매장픽업]빌꺄르 살몽 엑스트라 브뤼,"72,000",item.ssgcdn.com/06/71/09/item/1000066097106_i1_232.jpg
[매장픽업]앙드레 끌루에 상파뉴 실버 브뤼,"50,000",item.ssgcdn.com/49/61/50/item/1000069506149_i1_232.jpg
"[매장픽업] 파스쿠아, 진 프리미티보 (레드와인)","42,000",item.ssgcdn.com/52/90/34/item/1000072349052_i1_232.jpg
[매장픽업] 메디치 에르메테 페르멘토 (로제와인),"45,000",item.ssgcdn.com/05/40/86/item/1000043864005_i1_232.jpg
"[매장픽업] 그라함, 10년 토니 포트 (포트와인)","64,000",item.ssgcdn.com/38/29/79/item/1000044792938_i1_232.jpg
서브미션 샤도네이,"22,500",item.ssgcdn.com/57/05/32/item/1000057320557_i1_232.jpg
몽제아 뮈네레 부르고뉴 샤르도네 18,"40,500",item.ssgcdn.com/57/05/32/item/1000057320557_i2_232.jpg
몽제아 뮈네레 부르고뉴 피노누아 19,"40,500",item.ssgcdn.com/80/90/85/item/1000043859080_i1_232.jpg
[매장픽업] 오이스터베이 소비뇽블랑(화이트와인),"31,500",item.ssgcdn.com/80/90/85/item/1000043859080_i2_232.jpg
[매장픽업] 모엣 & 샹동 아이스 임페리얼,"117,000",item.ssgcdn.com/36/66/36/item/1000049366636_i1_232.jpg
[매장픽업] 빌라엠 로소,"21,600",item.ssgcdn.com/36/66/36/item/1000049366636_i2_232.jpg
