상품명,가격,사진
"[매장픽업] 파스쿠아, 프리잔떼 돌체 스윗 로제 (스파클링와인)","31,500",item.ssgcdn.com/47/81/39/item/1000049398147_i1_232.jpg
[매장픽업]파이퍼하이직 빈티지(스파클링와인),"99,000",item.ssgcdn.com/47/81/39/item/1000049398147_i2_232.jpg
"[매장픽업] 파스쿠아, 일레븐 미닛 로제 (로제와인)","45,000",item.ssgcdn.com/27/64/95/item/1000043956427_i1_232.jpg
[매장픽업]  파이퍼하이직 뀌베브뤼(스파클링와인),"58,500",item.ssgcdn.com/27/64/95/item/1000043956427_i2_232.jpg
[매장픽업] 모엣x카카오프렌즈 리미티드 에디션,"72,000",item.ssgcdn.com/56/84/39/item/1000049398456_i1_232.jpg
[매장픽업] 모엣 & 샹동 임페리얼 375ml,"44,820",item.ssgcdn.com/56/84/39/item/1000049398456_i2_232.jpg
앙드레 끌루에 드림 빈티지 2013,"62,100",item.ssgcdn.com/56/51/95/item/1000043955156_i1_232.jpg
"[매장픽업] 찰스 하이직, 브뤼 밀레짐 2012(샴페인)","189,900",item.ssgcdn.com/56/51/95/item/1000043955156_i2_232.jpg
"[매장픽업] 로쉬 드 벨렌, 부르고뉴 피노누아 퀴베 리저브 (레드와인)","38,700",item.ssgcdn.com/19/38/26/item/1000070263819_i1_232.jpg
"[매장픽업] 찰스 하이직, 브륏 리저브 (샴페인)","108,000",item.ssgcdn.com/19/38/26/item/1000070263819_i2_232.jpg
"[매장픽업] 파스쿠아, 프리잔떼 투르비옹 아마빌레 (스파클링와인)","31,500",item.ssgcdn.com/49/61/50/item/1000069506149_i1_232.jpg
CYT 그란 레세르바 카베르네 소비뇽,"19,800",item.ssgcdn.com/00/94/03/item/1000072039400_i1_232.jpg
[매장픽업]이기갈 꼬뜨 뒤 론 루즈 375ml (레드와인),"15,300",item.ssgcdn.com/67/33/86/item/1000043863367_i1_232.jpg
"[매장픽업] 그라함, 10년 토니 포트 (포트와인)","69,300",item.ssgcdn.com/67/33/86/item/1000043863367_i2_232.jpg
[매장픽업]  몰리두커 더 복서,"53,100",item.ssgcdn.com/17/32/33/item/1000049333217_i1_232.jpg
[매장픽업] 메디치 에르메테 콘체르토 (스파클링와인),"31,500",item.ssgcdn.com/17/32/33/item/1000049333217_i2_232.jpg
[매장픽업] 당장페이 브뤼,"37,800",item.ssgcdn.com/53/68/18/item/1000051186853_i1_232.jpg
[매장픽업] 오이스터베이 소비뇽블랑(화이트와인),"31,500",item.ssgcdn.com/53/68/18/item/1000051186853_i2_232.jpg
[매장픽업] 그랑 파씨오네(레드와인),"28,800",item.ssgcdn.com/96/72/39/item/1000049397296_i1_232.jpg
[매장픽업] 루이라뚜르 샤르도네(화이트와인),"24,300",item.ssgcdn.com/79/02/32/item/1000166320279_i1_232.jpg
알파카 폴딩 패키지,"41,310",item.ssgcdn.com/36/22/01/item/1000051012236_i1_232.jpg
[매장픽업]  텍스트북 배럴티프 까베르네소비뇽,"76,500",item.ssgcdn.com/36/66/36/item/1000049366636_i1_232.jpg
[매장픽업] 마투아 말보로 소비뇽 블랑,"26,100",item.ssgcdn.com/36/66/36/item/1000049366636_i2_232.jpg
[매장픽업] 까스텔포르테 발폴리첼라 리빠소,"22,500",item.ssgcdn.com/83/15/96/item/1000043961583_i1_232.jpg
[매장픽업] 간치아 모스카토 로제,"18,000",item.ssgcdn.com/77/65/85/item/1000043856577_i1_232.jpg
[매장픽업] 머드하우스 피노 그리 (화이트와인),"27,000",item.ssgcdn.com/77/65/85/item/1000043856577_i2_232.jpg
"[매장픽업] 그라함, 20년 토니 포트 (포트와인)","135,000",item.ssgcdn.com/52/90/34/item/1000072349052_i1_232.jpg
[매장픽업] 모엣 x 카카오프렌즈 리미티드 에디션,"74,700",item.ssgcdn.com/22/74/84/item/1000043847422_i1_232.jpg
"[매장픽업] 로쉬 드 벨렌, 부르고뉴 피노누아 비에이 비뉴 375ml (레드와인)","24,300",item.ssgcdn.com/22/74/84/item/1000043847422_i2_232.jpg
"스몰타운 빈야드, 클로벨라 마타로 그리나쉬","55,800",item.ssgcdn.com/18/63/26/item/1000049266318_i1_232.jpg
[매장픽업] 빌라 안나베르타 아마로네(레드와인),"44,100",item.ssgcdn.com/22/77/86/item/1000043867722_i1_232.jpg
